,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.acctPay,statementData.balanceSheet.ppeq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.taxAssets,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.cashFlow.freeCashFlow,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.ncff,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.ebitda,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.epsDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.incomeStatement.taxExp,statementData.incomeStatement.shareswaDil,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.epsQoQ,statementData.overview.profitMargin,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.roe,statementData.overview.longTermDebtEquity,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bvps
0,2020-09-30 00:00:00+00:00,3,2020,5964966000.0,1719612000.0,1128946000.0,1338153000.0,563624000.0,2261251000.0,42450000.0,1413242000.0,2093782000.0,-463316000.0,5010399000.0,70363000.0,576204000.0,326892000.0,2420353000.0,17514000.0,0.0,1677162000.0,0.0,69008000.0,3544613000.0,140565020.0,558690000.0,7271650000.0,1083351000.0,0.0,68941000.0,2215000.0,80152000.0,124189000.0,22371000.0,13016000.0,28171000.0,0.0,-4750000.0,0.0,19088000.0,2850000.0,-11211000.0,-7040000.0,23640000.0,3669535000.0,88119000.0,0.14,0.0,4299000.0,0.14,65590000.0,133675000.0,140565020.0,19341000.0,17603000.0,0.0,19341000.0,65748000.0,68085000.0,68085000.0,48145000.0,0.0,3803210000.0,28804000.0,,27.0565891855598,0.0351479408184139,-1.02641509433962,0.0351479408184139,-0.178319993743219,1306684000.0,1.41352497437661,-0.365456717773613,1.48559984268512,-0.0589225599969582,6.0,9.29594005677942
1,2020-06-30 00:00:00+00:00,2,2020,6009880000.0,1707933000.0,1091722000.0,1428785000.0,568606000.0,2213388000.0,53102000.0,1393866000.0,1969593000.0,-478636000.0,5027386000.0,74787000.0,540962000.0,322652000.0,2404801000.0,12711000.0,0.0,1654831000.0,0.0,68225000.0,3605079000.0,140174400.0,528251000.0,7240774000.0,1146761000.0,0.0,109849000.0,3379000.0,127831000.0,98719000.0,28204000.0,13589000.0,-4840000.0,0.0,-6306000.0,-14020000.0,-18051000.0,-37861000.0,-17982000.0,-1636000.0,-18262000.0,4023530000.0,51390000.0,-0.18,0.0,-6728000.0,-0.18,22668000.0,67463000.0,140174400.0,-24990000.0,17091000.0,0.0,-24990000.0,23186000.0,44795000.0,39737000.0,6095000.0,0.0,4090993000.0,31085000.0,,29.1850223721307,0.0164906173146715,-0.938983050847458,0.0164906173146715,-0.0133636278568128,1230894000.0,1.39452866358823,-0.918434432363007,1.51579889385759,-0.158110781313398,6.0,8.78116118207033
2,2020-03-31 00:00:00+00:00,1,2020,6082304000.0,1698377000.0,1091645000.0,1443280000.0,567148000.0,2162980000.0,51204000.0,1418845000.0,1870874000.0,-499353000.0,5129489000.0,79420000.0,530234000.0,306482000.0,2371758000.0,6477000.0,0.0,1647173000.0,0.0,55521000.0,3710546000.0,140174400.0,523757000.0,7292469000.0,1097800000.0,0.0,-80372000.0,5977000.0,-63743000.0,-126325000.0,28717000.0,-63472000.0,22628000.0,0.0,806000.0,-14700000.0,-5971000.0,-21738000.0,-16629000.0,22203000.0,-256450000.0,4057159000.0,-285750000.0,-1.9,0.0,9509000.0,-1.9,-222155000.0,61397000.0,140174400.0,-265959000.0,18323000.0,0.0,-265959000.0,-314467000.0,283552000.0,-14052000.0,-332790000.0,0.0,4118556000.0,-66831000.0,,29.3816559942472,0.0149074092958794,2.87755102040816,0.0149074092958794,-0.00364233508127998,1210165000.0,1.38240814155114,-0.976504534149408,1.508890710808,-0.198030881620868,4.0,8.63328111267107
3,2019-12-31 00:00:00+00:00,4,2019,6382566000.0,1690467000.0,1487752000.0,1546840000.0,594826000.0,2599895000.0,38728000.0,1700912000.0,1997199000.0,-379873000.0,5366763000.0,83295000.0,608076000.0,508415000.0,2477444000.0,7262000.0,0.0,1651739000.0,0.0,62688000.0,3905122000.0,140174400.0,600814000.0,7966658000.0,1217464000.0,0.0,120882000.0,8562000.0,152120000.0,192095000.0,28435000.0,24340000.0,9841000.0,0.0,40616000.0,-29365000.0,-5471000.0,5794000.0,-31238000.0,-21206000.0,-186791000.0,3597592000.0,-48204000.0,-1.19,-87748000.0,-19845000.0,-1.19,-197909000.0,128225000.0,140174400.0,-166946000.0,17614000.0,0.0,-166946000.0,-76639000.0,326134000.0,43663000.0,-94253000.0,0.0,3725817000.0,72693000.0,,26.5798676505838,0.0344152705299267,2.87755102040816,0.0344152705299267,-0.0456775599496843,1584092000.0,1.37428817844871,-0.665394682961624,1.11022468798563,-0.164527482808471,5.0,11.3008652079124
5,2019-09-30 00:00:00+00:00,3,2019,6199777000.0,1682145000.0,1559495000.0,1295954000.0,571214000.0,2560819000.0,45240000.0,1998142000.0,1805104000.0,-551903000.0,5322888000.0,0.0,673916000.0,439576000.0,2349406000.0,47873000.0,0.0,1636905000.0,0.0,70537000.0,3850371000.0,139927317.0,626043000.0,7883707000.0,1045749000.0,0.0,-32503000.0,-2290000.0,-24537000.0,-52181000.0,45132000.0,-28989000.0,-29331000.0,1466000.0,25203000.0,-29384000.0,4287000.0,30676000.0,-7966000.0,8569000.0,-730654000.0,4537327000.0,-183676000.0,-5.3,0.0,12445000.0,-5.3,-253904000.0,91251000.0,140163000.0,-743099000.0,18984000.0,0.0,-743099000.0,-228808000.0,345155000.0,11167000.0,-247792000.0,0.0,4628578000.0,495307000.0,140163000.0,33.0784445756221,0.0197146942322242,-10.6363636363636,0.0197146942322242,0.204657705736375,1683930000.0,1.3824350952155,-0.50498828724189,1.04963786353916,-0.141124523278664,4.0,12.0343192173119
6,2019-06-30 00:00:00+00:00,2,2019,6476385000.0,1698823000.0,2374237000.0,1546171000.0,894997000.0,3816322000.0,41577000.0,2769804000.0,1857285000.0,-510008000.0,5157552000.0,0.0,967067000.0,534401000.0,2418689000.0,73098000.0,0.0,1657246000.0,0.0,513306000.0,4057696000.0,139927317.0,893969000.0,8973874000.0,1490768000.0,0.0,70702000.0,16561000.0,108911000.0,51508000.0,47083000.0,-5660000.0,-27989000.0,-1466000.0,25436000.0,-29319000.0,-15055000.0,-23754000.0,-38209000.0,4945000.0,-452700000.0,4577607000.0,-423819000.0,-2.95,0.0,38679000.0,-2.95,-507806000.0,-431203000.0,140141000.0,-414021000.0,18876000.0,0.0,-414021000.0,-470902000.0,76603000.0,49932000.0,-489778000.0,0.0,4146404000.0,-75757000.0,140141000.0,29.6325555931298,-0.103994449166073,-4.59756097560976,-0.103994449166073,-0.150987469583087,2497489000.0,1.27105431259513,-0.145201687406989,0.698012035024305,-0.0451309612554961,4.0,17.848473432818
7,2019-03-31 00:00:00+00:00,1,2019,5925789000.0,1686849000.0,2952313000.0,1543478000.0,985754000.0,3799106000.0,35922000.0,3354352000.0,1805777000.0,-497894000.0,5242608000.0,0.0,1036189000.0,535051000.0,2397896000.0,98733000.0,0.0,1650927000.0,0.0,363872000.0,3527893000.0,139577519.0,937456000.0,9041714000.0,1380475000.0,0.0,-54928000.0,13242000.0,-17476000.0,41031000.0,49831000.0,20571000.0,-29820000.0,1466000.0,116119000.0,-30005000.0,-12001000.0,67756000.0,-37452000.0,7692000.0,-45045000.0,4070859000.0,14814000.0,-0.49,0.0,23859000.0,-0.49,-23236000.0,62753000.0,139776000.0,-68904000.0,18630000.0,0.0,-68904000.0,-35017000.0,85989000.0,58621000.0,-53647000.0,0.0,4133612000.0,15257000.0,139776000.0,29.6151703341281,0.0151811539157521,2.76923076923077,0.0151811539157521,-0.143074400313448,3115925000.0,1.48604506996102,0.0411541759634634,0.559197822182133,0.0135008638225226,6.0,22.3239746796187
8,2018-12-31 00:00:00+00:00,4,2018,5902302000.0,1688452000.0,2834125000.0,1400666000.0,745942000.0,3511952000.0,26887000.0,3294154000.0,1764746000.0,-543531000.0,5370603000.0,0.0,1117964000.0,466452000.0,2243074000.0,214828000.0,0.0,1661565000.0,0.0,378102000.0,3659228000.0,140668441.0,903136000.0,8882555000.0,1237248000.0,0.0,131297000.0,8294000.0,173449000.0,84950000.0,51737000.0,-29505000.0,-132117000.0,-49934000.0,28207000.0,-29541000.0,87396000.0,73123000.0,-42152000.0,-29091000.0,17725000.0,3843477000.0,162621000.0,0.0,-63183000.0,18844000.0,0.0,55070000.0,60672000.0,140185000.0,-1119000.0,19013000.0,0.0,-1119000.0,110884000.0,5602000.0,-16298000.0,91871000.0,0.0,3904149000.0,92990000.0,140990000.0,27.754263658897,0.0155403904922686,-1.0,0.0155403904922686,11.4781034262337,2980253000.0,1.46768744664175,0.0582262962041451,0.586270894897014,0.0189712233288259,6.0,21.18636546203
10,2018-09-30 00:00:00+00:00,3,2018,5948047000.0,1724304000.0,3043024000.0,1619222000.0,1029162000.0,3563815000.0,56945000.0,3401528000.0,1679796000.0,-482178000.0,5584161000.0,0.0,1102264000.0,553294000.0,2285944000.0,243048000.0,0.0,1667359000.0,0.0,425313000.0,3662103000.0,140618971.0,859216000.0,9147976000.0,1724091000.0,0.0,103873000.0,10745000.0,121315000.0,-2164000.0,53013000.0,175000.0,32074000.0,1787000.0,-142043000.0,-29552000.0,3375000.0,-155728000.0,-17442000.0,69822000.0,96025000.0,3654953000.0,183306000.0,0.55,-13245000.0,18680000.0,0.55,126224000.0,187282000.0,140713000.0,77345000.0,24238000.0,0.0,77345000.0,130293000.0,61058000.0,61058000.0,106055000.0,0.0,3842235000.0,28710000.0,141549000.0,27.3237314473024,0.0487429842266285,-0.191176470588235,0.0487429842266285,-0.222476816372884,3199929000.0,1.52485088486042,0.0634878068410463,0.547928310785587,0.0213083099615774,6.0,22.7560262832531
11,2018-06-30 00:00:00+00:00,2,2018,5934377000.0,1655931000.0,3043355000.0,1692897000.0,1053866000.0,3663381000.0,80561000.0,3353176000.0,1681960000.0,-422595000.0,5455836000.0,0.0,1006174000.0,558308000.0,2182730000.0,101124000.0,0.0,1575370000.0,0.0,426671000.0,3751647000.0,140587114.0,905050000.0,9119217000.0,1556503000.0,0.0,-18376000.0,10073000.0,3402000.0,-3994000.0,55252000.0,-42033000.0,17531000.0,1364000.0,40511000.0,-29399000.0,-1116000.0,17106000.0,-21778000.0,49645000.0,131164000.0,4673644000.0,239339000.0,0.82,0.0,16332000.0,0.81,192376000.0,210152000.0,140654000.0,114832000.0,16784000.0,0.0,114832000.0,184087000.0,17776000.0,17776000.0,167303000.0,0.0,4883796000.0,52471000.0,141306000.0,34.7385749735214,0.0430304623698451,-5.82352941176471,0.0430304623698451,0.0355599509085065,3184840000.0,1.45425089300779,0.0676895993804797,0.517642535951277,0.0231294398572997,5.0,22.6538543212431
12,2018-03-31 00:00:00+00:00,1,2018,6295919000.0,1636461000.0,2996311000.0,1720943000.0,1097833000.0,3730464000.0,28808000.0,3268837000.0,1685954000.0,-372960000.0,5694762000.0,0.0,1041227000.0,581298000.0,2217613000.0,142503000.0,0.0,1607653000.0,0.0,435675000.0,4078306000.0,139907306.0,898724000.0,9425226000.0,1727474000.0,0.0,-184590000.0,13917000.0,-136002000.0,-118121000.0,56654000.0,8978000.0,-57979000.0,4019000.0,130916000.0,-30242000.0,-15574000.0,66882000.0,-48588000.0,0.0,-12061000.0,4765975000.0,59182000.0,-0.13,0.0,5529000.0,-0.13,524000.0,57795000.0,140099000.0,-17590000.0,17112000.0,0.0,-17590000.0,2528000.0,57271000.0,57271000.0,-14584000.0,0.0,4823770000.0,3006000.0,140099000.0,34.4783281010357,0.0119812926404037,-1.30232558139535,0.0119812926404037,-0.00250935450551659,3129307000.0,1.39635476102087,0.0235850843951166,0.53654410373289,0.00812198517912585,3.0,22.3670020491996
